,RMSE,MAE,R2_Score,Memory_MB
LinearRegression,0.04001911387939749,0.025627902407442053,0.9985750800627715,2383.34
RandomForest,0.025006387036511382,0.011478936734342004,0.9994436380452539,5692.92
GradientBoosting,0.04093496545507573,0.026015936765701138,0.9985091141825387,3828.28
NeuralNetwork,0.03278998421083875,0.021485929996990356,0.9990433833356821,2124.83
